YYYY,MM,N2O(ppb)
2014,4,325.502
2014,5,325.642
2014,6,325.933
2014,7,326.201
2014,8,326.502
2014,9,326.631
2014,10,326.601
2014,11,326.945
2014,12,327.181
2015,1,327.178
2015,2,327.079
2015,3,326.825
2015,4,326.837
2015,5,327.054
2015,6,327.217
2015,7,327.348
2015,8,327.451
2015,9,327.547
2015,10,327.513
2015,11,327.635
2015,12,327.932
2016,1,327.919
2016,2,327.818
2016,3,327.753
2016,4,327.539
2016,5,327.476
2016,6,327.604
2016,7,327.744
2016,8,328.082
2016,9,328.389
2016,10,328.317
2016,11,328.285
2016,12,328.442
2017,1,328.457
2017,2,328.145
2017,3,328.064
2017,4,328.267
2017,5,328.379
2017,6,328.608
2017,7,328.826
2017,8,329.108
2017,9,329.386
2017,10,329.483
2017,11,329.667
2017,12,329.834
2018,1,329.892
2018,2,329.987
2018,3,330.025
2018,4,329.952
2018,5,329.921
2018,6,330.145
2018,7,330.339
2018,8,330.504
2018,9,330.822
2018,10,330.818
2018,11,330.768
2018,12,331.113
2019,1,331.098
2019,2,330.663
2019,3,330.449
2019,4,330.562
2019,5,330.633
2019,6,330.594
2019,7,330.644
2019,8,330.784
2019,9,331.106
2019,10,331.481
2019,11,331.56
2019,12,331.315
2020,1,331.337
2020,2,331.447
2020,3,331.227
2020,4,331.237
2020,5,331.434
2020,6,331.626
2020,7,331.918
2020,8,332.132
2020,9,332.321
2020,10,332.552
2020,11,332.678
2020,12,332.588
2021,1,332.696
2021,2,332.898
2021,3,332.809
2021,4,333.031
2021,5,333.204
2021,6,333.052
2021,7,333.273
2021,8,333.348
2021,9,333.498
2021,10,334.014
2021,11,334.254
2021,12,334.433
2022,1,334.625
2022,2,334.587
2022,3,334.574
2022,4,334.566
2022,5,334.458
2022,6,334.503
2022,7,334.74
2022,8,335.009
2022,9,335.215
2022,10,335.246
2022,11,335.377
2022,12,335.652
2023,1,335.843
2023,2,335.921
2023,3,335.81
2023,4,335.712
2023,5,335.722
2023,6,335.618
2023,7,335.737
2023,8,336.157
2023,9,336.351
2023,10,336.446
2023,11,336.586
2023,12,336.694
2024,1,336.824
2024,2,336.792
2024,3,336.755
2024,4,336.886
2024,5,336.904
2024,6,336.804
2024,7,336.909
2024,8,337.118
2024,9,337.208
2024,10,337.308
2024,11,337.464
2024,12,337.633
2025,1,337.711
2025,2,337.601
2025,3,337.549
2025,4,337.53
2025,5,337.453
2025,6,337.512
2025,7,337.71
2025,8,337.997
2025,9,338.244
2025,10,338.419
2025,11,338.57
2025,12,338.674
