YYYY,MM,CH4(ppb)
2012,4,1750.09
2012,5,1757.49
2012,6,1763.77
2012,7,1770.42
2012,8,1775.57
2012,9,1777.95
2012,10,1776.58
2012,11,1772.03
2012,12,1763.61
2013,1,1752.42
2013,2,1747.38
2013,3,1748.5
2013,4,1753.35
2013,5,1761.47
2013,6,1769.95
2013,7,1775.35
2013,8,1779.44
2013,9,1781.68
2013,10,1779.74
2013,11,1773.96
2013,12,1765.45
2014,1,1756.26
2014,2,1751.75
2014,3,1754.26
2014,4,1760.86
2014,5,1769.56
2014,6,1779.6
2014,7,1787.22
2014,8,1791
2014,9,1792.37
2014,10,1791.3
2014,11,1786.61
2014,12,1778.76
2015,1,1770.01
2015,2,1765.15
2015,3,1767.1
2015,4,1773.88
2015,5,1781.54
2015,6,1789.14
2015,7,1795.95
2015,8,1800.55
2015,9,1802.27
2015,10,1801.03
2015,11,1796.16
2015,12,1788.07
2016,1,1779
2016,2,1773.92
2016,3,1775.57
2016,4,1780.88
2016,5,1787.98
2016,6,1796.33
2016,7,1802.19
2016,8,1805.31
2016,9,1807.05
2016,10,1805.48
2016,11,1798.94
2016,12,1789.48
2017,1,1780.61
2017,2,1776.14
2017,3,1777.32
2017,4,1783.57
2017,5,1793.35
2017,6,1803.09
2017,7,1810.15
2017,8,1814.72
2017,9,1816.56
2017,10,1815.03
2017,11,1809.7
2017,12,1801.3
2018,1,1792.81
2018,2,1788.67
2018,3,1790.06
2018,4,1796.64
2018,5,1806.26
2018,6,1814.81
2018,7,1821.08
2018,8,1825.9
2018,9,1828.08
2018,10,1826.2
2018,11,1819.82
2018,12,1810.43
2019,1,1801.5
2019,2,1797.12
2019,3,1797.85
2019,4,1802.86
2019,5,1810.47
2019,6,1818.69
2019,7,1825.94
2019,8,1831.08
2019,9,1832.97
2019,10,1831.45
2019,11,1825.94
2019,12,1816.8
2020,1,1807.5
2020,2,1802.92
2020,3,1804.33
2020,4,1809.46
2020,5,1817.04
2020,6,1826.3
2020,7,1834.4
2020,8,1839.76
2020,9,1842.42
2020,10,1841.87
2020,11,1837.43
2020,12,1829.34
2021,1,1820.21
2021,2,1816.19
2021,3,1819.88
2021,4,1827.08
2021,5,1834.59
2021,6,1843.54
2021,7,1851.94
2021,8,1857.39
2021,9,1860.27
2021,10,1860.15
2021,11,1855.75
2021,12,1847.74
2022,1,1839.62
2022,2,1835.85
2022,3,1837.58
2022,4,1844.32
2022,5,1853.36
2022,6,1861.37
2022,7,1868.35
2022,8,1874.53
2022,9,1877.47
2022,10,1876.61
2022,11,1872.09
2022,12,1864.5
2023,1,1855.55
2023,2,1850.68
2023,3,1853.03
2023,4,1859.65
2023,5,1867.22
2023,6,1874.48
2023,7,1881.04
2023,8,1886.47
2023,9,1888.7
2023,10,1887.62
2023,11,1883.33
2023,12,1874.65
2024,1,1863.97
2024,2,1857.21
2024,3,1857.33
2024,4,1863.54
2024,5,1871.84
2024,6,1879.21
2024,7,1885.12
2024,8,1889.92
2024,9,1892.91
2024,10,1893.07
2024,11,1889.54
2024,12,1881.77
2025,1,1872
2025,2,1866.15
2025,3,1867.26
2025,4,1872.85
2025,5,1879.61
2025,6,1887.33
2025,7,1895.1
2025,8,1900.05
2025,9,1901.34
2025,10,1899.95
2025,11,1894.95
2025,12,1885.64
,,
